         1       116        59    46.464 1.837e-02    45.964
         1       116        60    46.406 1.837e-02    45.906
         1       117        58    46.579 1.837e-02    46.079
         1       117        59    46.521 1.837e-02    46.021
         1       118        57    46.694 1.837e-02    46.194
         1       118        58    46.636 1.837e-02    46.136
         1       119        56    46.809 1.837e-02    46.309
         1       119        57    46.751 1.837e-02    46.251
         1       120        55    46.924 1.837e-02    46.424
         1       120        56    46.865 1.837e-02    46.365
         1       121        54    47.039 1.837e-02    46.539
         1       121        55    46.980 1.837e-02    46.480
         1       122        53    47.154 1.837e-02    46.654
         1       122        54    47.095 1.837e-02    46.595
         1       123        52    47.269 1.837e-02    46.769
         1       123        53    47.210 1.837e-02    46.710
         1       124        51    47.384 1.837e-02    46.884
         1       124        52    47.325 1.837e-02    46.825
         1       125        50    47.505 1.837e-02    47.005
         1       125        51    47.440 1.837e-02    46.940
         1       126        48    47.679 1.837e-02    47.179
         1       126        49    47.620 1.837e-02    47.120
         1       126        50    47.556 1.837e-02    47.056
         1       127        47    47.801 1.837e-02    47.301
         1       127        48    47.732 1.837e-02    47.232
         1       128        46    47.924 1.837e-02    47.424
         1       128        47    47.854 1.837e-02    47.354
         1       129        44    48.100 1.837e-02    47.600
         1       129        45    48.044 1.837e-02    47.544
         1       129        46    47.977 1.837e-02    47.477
         1       130        43    48.222 1.837e-02    47.722
         1       130        44    48.153 1.837e-02    47.653
         1       131        42    48.345 1.837e-02    47.845
         1       131        43    48.275 1.837e-02    47.775
         1       132        40    48.521 1.837e-02    48.021
         1       132        41    48.467 1.837e-02    47.967
         1       132        42    48.398 1.837e-02    47.898
         1       133        39    48.644 1.837e-02    48.144
         1       133        40    48.574 1.837e-02    48.074
         1       134        38    48.766 1.837e-02    48.266
         1       134        39    48.697 1.837e-02    48.197
         1       135         6    51.977 1.837e-02    51.477
         1       135         7    51.970 1.837e-02    51.470
         1       135        36    48.958 1.837e-02    48.458
         1       135        37    48.883 1.837e-02    48.383
         1       135        38    48.819 1.837e-02    48.319
         1       136         7    51.913 1.837e-02    51.413
         1       136         8    51.855 1.837e-02    51.355
         1       136        34    49.163 1.837e-02    48.663
         1       136        35    49.086 1.837e-02    48.586
         1       136        36    49.007 1.837e-02    48.507
         1       137         8    51.798 1.837e-02    51.298
         1       137         9    51.741 1.837e-02    51.241
         1       137        32    49.368 1.837e-02    48.868
         1       137        33    49.282 1.837e-02    48.782
         1       137        34    49.212 1.837e-02    48.712
         1       138         9    51.684 1.837e-02    51.184
         1       138        10    51.626 1.837e-02    51.126
         1       138        30    49.550 1.837e-02    49.050
         1       138        31    49.480 1.837e-02    48.980
         1       138        32    49.419 1.837e-02    48.919
