time,CHD_L01,CHD_L06,CHD_L11,CHD_L13
29964.50,-15.8638,-44.4729,-44.4729,-44.9654
29965.50,-15.8641,-44.4832,-44.4832,-44.9736
29966.50,-15.8644,-44.4939,-44.4939,-44.9816
29967.50,-15.8647,-44.5043,-44.5043,-44.9892
29968.50,-15.8647,-44.5146,-44.5146,-44.9962
29969.50,-15.8647,-44.5253,-44.5253,-45.0029
29970.50,-15.8647,-44.5356,-44.5356,-45.0084
29971.50,-15.8647,-44.5463,-44.5463,-45.0130
29972.50,-15.8644,-44.5567,-44.5567,-45.0166
29973.50,-15.8641,-44.5670,-44.5670,-45.0188
29974.50,-15.8641,-44.5777,-44.5777,-45.0197
29975.50,-15.8638,-44.5881,-44.5881,-45.0188
29976.50,-15.8635,-44.5984,-44.5984,-45.0160
29977.50,-15.8632,-44.6091,-44.6091,-45.0114
29978.50,-15.8629,-44.6195,-44.6195,-45.0047
29979.50,-15.8625,-44.6301,-44.6301,-44.9956
29980.50,-15.8622,-44.6405,-44.6405,-44.9843
29981.50,-15.8622,-44.6509,-44.6509,-44.9703
29982.50,-15.8619,-44.6615,-44.6615,-44.9535
29983.50,-15.8619,-44.6719,-44.6719,-44.9340
29984.50,-15.8619,-44.5957,-44.5957,-44.9127
29985.50,-15.8619,-44.6195,-44.6195,-44.8947
29986.50,-15.8622,-44.6429,-44.6429,-44.8810
29987.50,-15.8625,-44.6667,-44.6667,-44.8715
29988.50,-15.8629,-44.6902,-44.6902,-44.8657
29989.50,-15.8632,-44.7140,-44.7140,-44.8639
29990.50,-15.8635,-44.7377,-44.7377,-44.8651
29991.50,-15.8641,-44.7612,-44.7612,-44.8697
29992.50,-15.8644,-44.7850,-44.7850,-44.8770
29993.50,-15.8650,-44.8088,-44.8088,-44.8871
29994.50,-15.8656,-44.8322,-44.8322,-44.8996
29995.50,-15.8662,-44.8560,-44.8560,-44.9139
29996.50,-15.8671,-44.8795,-44.8795,-44.9304
29997.50,-15.8677,-44.9032,-44.9032,-44.9484
29998.50,-15.8686,-44.9270,-44.9270,-44.9676
29999.50,-15.8693,-44.9505,-44.9505,-44.9883
30000.50,-15.8702,-44.9743,-44.9743,-45.0093
30001.50,-15.8708,-44.9980,-44.9980,-45.0313
30002.50,-15.8717,-45.0215,-45.0215,-45.0535
30003.50,-15.8726,-45.0453,-45.0453,-45.0761
30004.50,-15.8732,-45.0687,-45.0687,-45.0980
30005.50,-15.8741,-45.0925,-45.0925,-45.1200
30006.50,-15.8750,-45.0986,-45.0986,-45.1413
30007.50,-15.8757,-45.1050,-45.1050,-45.1617
30008.50,-15.8766,-45.1111,-45.1111,-45.1815
30009.50,-15.8772,-45.1172,-45.1172,-45.2007
30010.50,-15.8781,-45.1236,-45.1236,-45.2193
30011.50,-15.8787,-45.1297,-45.1297,-45.2373
30012.50,-15.8796,-45.1358,-45.1358,-45.2544
30013.50,-15.8802,-45.1422,-45.1422,-45.2711
30014.50,-15.8811,-45.1483,-45.1483,-45.2870
30015.50,-15.8817,-45.1544,-45.1544,-45.3022
30016.50,-15.8824,-45.1608,-45.1608,-45.3169
30017.50,-15.8833,-45.1669,-45.1669,-45.3309
30018.50,-15.8839,-45.1730,-45.1730,-45.3440
30019.50,-15.8845,-45.1794,-45.1794,-45.3568
30020.50,-15.8854,-45.1855,-45.1855,-45.3687
30021.50,-15.8860,-45.1916,-45.1916,-45.3800
30022.50,-15.8866,-45.1977,-45.1977,-45.3903
30023.50,-15.8872,-45.2041,-45.2041,-45.4004
30024.50,-15.8881,-45.2102,-45.2102,-45.4095
30025.50,-15.8888,-45.2163,-45.2163,-45.4181
30026.50,-15.8894,-45.2227,-45.2227,-45.4260
30027.50,-15.8900,-45.2288,-45.2288,-45.4333
30028.50,-15.8906,-45.2349,-45.2349,-45.4397
30029.50,-15.8912,-45.2413,-45.2413,-45.4455
30030.50,-15.8918,-45.2474,-45.2474,-45.4507
30031.50,-15.8924,-45.2535,-45.2535,-45.4552
30032.50,-15.8933,-45.2599,-45.2599,-45.4592
30033.50,-15.8939,-45.2660,-45.2660,-45.4622
30034.50,-15.8946,-45.2721,-45.2721,-45.4647
30035.50,-15.8952,-45.2785,-45.2785,-45.4665
30036.50,-15.8958,-45.2845,-45.2845,-45.4674
30037.50,-15.8964,-45.2772,-45.2772,-45.4677
30038.50,-15.8967,-45.2696,-45.2696,-45.4674
30039.50,-15.8973,-45.2623,-45.2623,-45.4665
30040.50,-15.8979,-45.2547,-45.2547,-45.4653
